序号,单位名称,合计项数,合计金额,数理科学部项数,数理科学部金额,化学科学部项数,化学科学部金额,生命科学部项数,生命科学部金额,地球科学部项数,地球科学部金额,工程与材料科学部项数,工程与材料科学部金额,信息科学部项数,信息科学部金额,管理科学部项数,管理科学部金额,医学科学部项数,医学科学部金额,科学学科项数,科学学科金额,工程管理学科项数,工程管理学科金额
43,深圳大学,97,5615,8,444,4,262,14,771,3,180,14,830,32,1986,4,192,18,950,47,2607,50,3008
44,中国地质大学（武汉）,89,5505,1,62,6,390,0,0,67,4188,6,359,5,314,4,192,0,0,74,4640,15,865
45,华东理工大学,87,5393,7,409,48,3103,6,364,3,185,10,605,5,315,5,242,3,170,67,4231,20,1162
46,暨南大学,91,5324,5,301,9,593,9,534,12,730,4,240,8,492,8,379,36,2055,71,4213,20,1111
47,合肥工业大学,87,5210.5,7,414,9,588.5,2,119,9,586,37,2219,13,804,10,480,0,0,27,1707.5,60,3503
48,郑州大学,91,5188,5,297,6,393,5,263,0,0,18,1085,6,375,1,50,50,2725,66,3678,25,1510
49,中国人民解放军第二军医大学,92,5154,0,0,0,0,13,737,1,62,0,0,0,0,0,0,78,4355,92,5154,0,0
50,上海大学,89,5104.5,24,1413,6,376,5,251,8,492.5,20,1198,18,979,6,281,2,114,45,2646.5,44,2458
51,中国人民解放军第四军医大学,91,5087,0,0,0,0,6,357,0,0,1,56,1,16,0,0,83,4658,89,5015,2,72
52,中国人民解放军第三军医大学,88,5037,0,0,0,0,12,686,1,62,0,0,0,0,0,0,75,4289,88,5037,0,0
53,中国海洋大学,81,4917,4,220,2,131,19,1125,38,2366,9,555,3,190,2,98,4,232,67,4074,14,843
54,哈尔滨医科大学,87,4806,0,0,0,0,4,239,0,0,1,59,2,130,3,144,77,4234,81,4473,6,333
55,江苏大学,78,4724,9,558,13,848,7,419,0,0,32,1928,4,252,3,147,10,572,39,2397,39,2327
56,天津医科大学,83,4722,0,0,3,198,13,779,0,0,0,0,1,58,0,0,66,3687,82,4664,1,58
57,中国矿业大学,79,4651,1,60,1,65,1,59,12,764,49,2937,6,333,9,433,0,0,15,948,64,3703
58,河海大学,78,4615,7,441,1,65,1,60,16,939,46,2761,4,205,3,144,0,0,25,1505,53,3110
59,华南农业大学,78,4533,0,0,1,62,60,3513,11,663,2,120,2,80,2,95,0,0,72,4238,6,295
60,扬州大学,78,4517,5,257,3,196,49,2808,3,184,6,361,5,313,0,0,7,398,67,3843,11,674
61,上海中医药大学,77,4334,0,0,1,66,0,0,0,0,0,0,0,0,0,0,76,4268,77,4334,0,0
62,广州医科大学,74,4198,0,0,1,65,6,356,0,0,0,0,0,0,0,0,67,3777,74,4198,0,0
63,南京航空航天大学,72,4196,16,992,1,65,0,0,0,0,31,1851,20,1096,4,192,0,0,17,1057,55,3139
64,中国科学院上海生命科学研究院,70,4101.5,1,52,0,0,56,3330,1,62,0,0,0,0,0,0,12,657.5,70,4101.5,0,0
65,西南交通大学,67,4024,4,252,0,0,3,177,8,481,34,2048,13,815,4,194,1,57,16,967,51,3057
66,西南大学,70,4001,7,388,2,130,40,2321,6,368,1,60,9,499,2,96,3,139,58,3346,12,655
67,西安电子科技大学,64,3822,3,176,0,0,1,25,0,0,2,125,53,3228,2,97,3,171,7,372,57,3450
68,北京交通大学,60,3538,6,358,0,0,0,0,0,0,17,1021,27,1674,10,485,0,0,6,358,54,3180
69,浙江工业大学,58,3524,3,154,14,923,3,177,2,122,17,1014,13,818,3,144,3,172,25,1548,33,1976
70,陕西师范大学,58,3510,11,636,14,918,12,716,8,481,4,240,6,348,0,0,3,171,48,2922,10,588
71,中国人民解放军国防科技大学,57,3487,16,1008,1,53,1,59,8,487,5,299,24,1482,2,99,0,0,26,1607,31,1880
72,北京工业大学,57,3471.5,14,855,9,589,0,0,2,118.5,19,1142,12,710,0,0,1,57,26,1619.5,31,1852
73,北京化工大学,55,3466,0,0,27,1763,2,118,2,124,19,1146,4,258,0,0,1,57,32,2062,23,1404
74,南京理工大学,57,3458,7,406,7,458,1,60,0,0,12,723,27,1662,3,149,0,0,15,924,42,2534
75,重庆医科大学,61,3444,1,63,0,0,3,178,0,0,0,0,0,0,0,0,57,3203,61,3444,0,0
